instant,casual,registered
1,331,654
2,131,670
3,120,1229
4,108,1454
5,82,1518
6,88,1518
7,148,1362
8,68,891
9,54,768
10,41,1280
11,43,1220
12,25,1137
13,38,1368
14,54,1367
15,222,1026
16,251,953
17,117,883
18,9,674
19,78,1572
20,83,1844
21,75,1468
22,93,888
23,150,836
24,86,1330
25,186,1799
26,34,472
27,15,416
28,38,1129
29,123,975
30,140,956
31,42,1459
32,47,1313
33,72,1454
34,61,1489
35,88,1620
36,100,905
37,354,1269
38,120,1592
39,64,1466
40,53,1552
41,47,1491
42,149,1597
43,288,1184
44,397,1192
45,208,1705
46,140,1675
47,218,1897
48,259,2216
49,579,2348
50,532,1103
51,639,1173
52,195,912
53,74,1376
54,139,1778
55,100,1707
56,120,1341
57,424,1545
58,694,1708
59,81,1365
60,137,1714
61,231,1903
62,123,1562
63,214,1730
64,640,1437
65,114,491
66,244,1628
67,316,1817
68,191,1700
69,46,577
70,247,1730
71,724,1408
72,982,1435
73,359,1687
74,289,1767
75,321,1871
76,424,2320
77,884,2355
78,1424,1693
79,1047,1424
80,401,1676
81,460,2243
82,203,1918
83,166,1699
84,300,1910
85,981,1515
86,472,1221
87,222,1806
88,317,2108
89,168,1368
90,179,1506
91,307,1920
92,898,1354
93,1651,1598
94,734,2381
95,167,1628
96,413,2395
97,571,2570
98,172,1299
99,879,1576
100,1188,1707
101,855,2493
102,257,1777
103,209,1953
104,529,2738
105,642,2484
106,121,674
107,1558,2186
108,669,2760
109,409,2795
110,613,3331
111,745,3444
112,177,1506
113,1462,2574
114,1710,2481
115,773,3300
116,678,3722
117,547,3325
118,569,3489
119,878,3717
120,1965,3347
121,1138,2213
122,847,3554
123,603,3848
124,255,2378
125,614,3819
126,894,3714
127,1612,3102
128,1401,2932
129,664,3698
130,694,4109
131,550,3632
132,695,4169
133,692,3413
134,902,2507
135,1582,2971
136,773,3185
137,678,3445
138,536,3319
139,735,3840
140,909,4008
141,2258,3547
142,1576,3084
143,836,3438
144,659,3833
145,740,4238
146,758,3919
147,871,3808
148,2001,2757
149,2355,2433
150,1549,2549
151,673,3309
152,513,3461
153,736,4232
154,898,4414
155,1869,3473
156,1685,3221
157,673,3875
158,763,4070
159,676,3725
160,563,3352
161,815,3771
162,1729,3237
163,1467,2993
164,863,4157
165,727,4164
166,769,4411
167,545,3222
168,863,3981
169,1807,3312
170,1639,3105
171,699,3311
172,774,4061
173,661,3846
174,746,4044
