instant,season,workingday,weathersit,temp
1,1,0,2,0.344167
2,1,0,2,0.363478
3,1,1,1,0.196364
4,1,1,1,0.2
5,1,1,1,0.226957
6,1,1,1,0.204348
7,1,1,2,0.196522
8,1,0,2,165
9,1,0,1,0.138333
10,1,1,1,0.150833
11,1,1,2,0.169091
12,1,1,1,0.172727
13,1,1,1,165
14,1,1,1,0.16087
15,1,0,2,0.233333
16,1,0,1,0.231667
17,1,0,2,0.175833
18,1,1,2,0.216667
19,1,1,2,0.292174
20,1,1,2,0.261667
21,1,1,1,0.1775
22,1,0,1,0.0591304
23,1,0,1,0.0965217
24,1,1,1,0.0973913
25,1,1,2,0.223478
26,1,1,3,0.2175
27,1,1,1,195
28,1,1,2,0.203478
29,1,0,1,0.196522
30,1,0,1,0.216522
31,1,1,2,0.180833
32,1,1,2,0.192174
33,1,1,2,0.26
34,1,1,1,0.186957
35,1,1,2,0.211304
36,1,0,2,0.233333
37,1,0,1,0.285833
38,1,1,1,0.271667
39,1,1,1,0.220833
40,1,1,2,0.134783
41,1,1,1,0.144348
42,1,1,1,0.189091
43,1,0,1,0.2225
44,1,0,1,0.316522
45,1,1,1,415
46,1,1,1,0.266087
47,1,1,1,0.318261
48,1,1,1,0.435833
49,1,1,1,0.521667
50,1,0,1,0.399167
51,1,0,1,0.285217
52,1,0,2,0.303333
53,1,1,1,0.182222
54,1,1,1,0.221739
55,1,1,2,0.295652
56,1,1,2,0.364348
57,1,0,1,0.2825
58,1,0,1,0.343478
59,1,1,2,0.407273
60,1,1,1,0.266667
61,1,1,1,335
62,1,1,1,0.198333
63,1,1,2,0.261667
64,1,0,2,0.384167
65,1,0,2,0.376522
66,1,1,1,0.261739
67,1,1,1,0.2925
68,1,1,2,0.295833
69,1,1,3,0.389091
70,1,1,2,0.316522
71,1,0,1,0.329167
72,1,0,1,0.384348
73,1,1,1,0.325217
74,1,1,2,0.317391
75,1,1,2,0.365217
76,1,1,1,415
77,1,1,1,0.54
78,1,0,1,0.4725
79,1,0,1,0.3325
80,2,1,2,0.430435
81,2,1,1,0.441667
82,2,1,2,0.346957
83,2,1,2,285
84,2,1,1,0.264167
85,2,0,1,0.265833
